Symbol,Sector,Current_Price,Accumulation_Score,Bullish_Probability,Volume_Accumulation,Consolidation_Periods,Technical_Signals,Breakout_Signals,Current_RSI,Price_vs_200MA,Volume_Ratio,Bullish_Engulfing,Bearish_Engulfing,Hammer_Pattern,Doji_Pattern,Data_Years
DCMSHRIRAM.NS,UNKNOWN,1406.300048828125,0.621,0.25,0.405,0,30,50,72.55,42.12,0.89,45,69,16,118,20.1
BOMDYEING.NS,UNKNOWN,171.00999450683594,0.611,0.5,0.372,0,41,36,57.22,28.31,1.19,35,68,17,107,20.1
SBILIFE.NS,UNKNOWN,1802.800048828125,0.692,0.5,0.44,2,9,16,60.42,32.55,0.73,17,20,6,38,7.8
PIDILITIND.NS,CHEMICALS,2992.300048828125,0.826,0.5,0.421,5,16,63,50.3,12.31,0.57,42,49,18,140,20.1
HCC.NS,UNKNOWN,28.770000457763672,0.595,0.5,0.315,0,40,31,45.92,13.0,0.12,28,67,25,103,20.1
BIRLACORPN.NS,UNKNOWN,1419.199951171875,0.627,0.5,0.423,0,33,47,62.99,18.6,0.45,38,66,22,147,20.1
NAUKRI.NS,UNKNOWN,1379.300048828125,0.63,0.5,0.433,0,30,50,44.76,27.16,1.02,52,52,26,135,18.7
BLUESTARCO.NS,UNKNOWN,1873.5999755859375,0.611,0.5,0.369,0,41,64,54.41,77.23,0.57,49,58,14,134,20.1
HEIDELBERG.NS,UNKNOWN,212.25,0.694,0.75,0.38,2,31,38,56.24,11.38,1.77,43,62,19,134,20.1
ASHOKA.NS,UNKNOWN,206.9499969482422,0.617,0.5,0.39,0,23,24,48.52,46.13,0.32,24,45,11,86,14.8
JAGRAN.NS,UNKNOWN,71.95999908447266,0.615,0.5,0.384,0,35,30,51.73,1.71,0.5,39,74,18,150,19.5
BASF.NS,UNKNOWN,5123.0,0.617,0.5,0.391,0,34,56,53.28,40.17,0.47,51,52,18,135,20.1
CUB.NS,UNKNOWN,216.4499969482422,0.751,0.5,0.435,3,19,50,67.32,41.42,0.47,34,61,29,130,20.1
BHEL.NS,UNKNOWN,253.25,0.651,0.5,0.371,1,34,43,56.65,71.26,0.24,32,87,13,112,20.1
TATACONSUM.NS,FMCG,1105.800048828125,0.742,0.5,0.408,3,27,62,54.24,22.88,0.62,43,72,15,118,20.1
ADVENZYMES.NS,UNKNOWN,327.45001220703125,0.572,0.5,0.373,0,8,18,53.31,2.49,0.62,12,37,5,66,9.0
MPHASIS.NS,TECH,2844.0,0.63,0.5,0.433,0,28,57,59.13,18.5,0.5,50,68,21,146,20.1
APOLLOHOSP.NS,UNKNOWN,7350.5,0.793,0.5,0.443,4,22,45,58.88,35.56,1.03,39,81,22,119,20.1
COROMANDEL.NS,UNKNOWN,2340.7802734375,0.698,0.5,0.527,1,20,56,62.36,91.46,0.54,50,80,26,138,20.1
PFC.NS,UNKNOWN,424.1000061035156,0.655,0.5,0.384,1,30,44,52.5,70.23,0.49,24,67,13,106,18.5
TORNTPHARM.NS,PHARMA,3504.60009765625,0.742,0.75,0.406,3,18,67,62.58,61.78,1.28,45,56,9,147,20.1
ZEEL.NS,UNKNOWN,142.33999633789062,0.658,0.25,0.394,1,25,32,60.0,-30.45,0.9,36,78,26,136,20.1
MOTHERSON.NS,UNKNOWN,102.58000183105469,0.626,0.5,0.421,0,18,66,55.71,38.21,0.57,39,68,25,122,20.1
HINDUNILVR.NS,FMCG,2509.800048828125,0.824,0.5,0.412,9,16,49,62.26,5.32,0.71,41,73,20,113,20.1
BALMLAWRIE.NS,UNKNOWN,215.38999938964844,0.807,0.5,0.356,5,32,41,54.78,31.34,0.65,43,59,12,132,20.1
ICICIBANK.NS,BANKING,1418.699951171875,0.707,0.5,0.423,2,18,63,57.04,42.56,0.61,47,57,24,115,20.1
JINDALSTEL.NS,METALS,950.4500122070312,0.625,0.5,0.418,0,33,68,53.84,40.93,0.74,49,62,22,111,20.1
KANSAINER.NS,UNKNOWN,249.75,0.784,0.25,0.414,4,37,36,50.0,-14.42,0.55,39,71,19,130,20.1
INDOCO.NS,UNKNOWN,338.95001220703125,0.625,0.5,0.416,0,35,38,64.91,-1.38,1.49,40,53,19,127,20.1
ULTRACEMCO.NS,UNKNOWN,12495.0,0.835,0.5,0.451,5,28,61,61.37,42.81,0.53,44,68,24,120,20.1
ASTRAL.NS,UNKNOWN,1505.0999755859375,0.639,0.25,0.465,0,31,61,51.78,-10.68,0.53,38,52,24,126,18.4
